类别ID,类别名称
CATE_1043,腰带/腰封/皮带/腰链
CATE_1044,电玩/配件/游戏/攻略
CATE_1045,地暖安装
CATE_1046,家居饰品
CATE_1047,运动鞋
CATE_1048,背包/双肩包
CATE_1049,田径运动器材
CATE_1050,CD机/黑胶
CATE_1051,相声/曲艺
CATE_1052,猫/狗保健品/医疗用品
CATE_1053,电脑包
CATE_1054,咖啡机
CATE_1055,浴帽
CATE_1056,有声读物
CATE_1057,手机电池/充电
CATE_1058,开关
CATE_1059,更多纸张本册
CATE_1060,餐具/饮具/研磨
CATE_1061,旗袍/礼服/婚纱
CATE_1062,镜类
CATE_1063,风衣
CATE_1064,包装设备
CATE_1065,运动球衣
CATE_1066,鼠标垫
CATE_1067,安全套
CATE_1068,存储卡
CATE_1069,卫衣
CATE_1070,婴儿营养品/辅食
CATE_1071,无框画
CATE_1072,屏风
CATE_1073,架类
CATE_1074,手机号/套餐/增值业务
CATE_1075,聚会/魔术
CATE_1076,肉松/鱼松
CATE_1077,冰柜/冷柜
CATE_1078,母婴/玩具
CATE_1079,按摩枕/垫
CATE_1080,女包
CATE_1081,儿童上装
CATE_1082,护手霜/手部护理
CATE_1083,美妆个护
CATE_1084,床单/床罩
CATE_1085,汽车用品
CATE_1086,商业/办公家具
CATE_1087,丝袜/连裤袜/打底裤
CATE_1088,胸针
CATE_1089,外语
CATE_1090,安防报警服务
CATE_1091,进口图书
CATE_1092,网游/虚拟货币/游戏点卡
CATE_1093,其它
CATE_1094,妈咪包/背婴带
CATE_1095,板材
CATE_1096,休闲裤
CATE_1097,进口咖啡
CATE_1098,女性器具
CATE_1099,运动娱乐
CATE_1100,脏衣篮
CATE_1101,笔记本散热
CATE_1102,家居生活
CATE_1103,投资理财
CATE_1104,豆浆机
CATE_1105,地板护理
CATE_1106,其他男士护理
CATE_1107,温灸器
CATE_1108,电影票
CATE_1109,女士单肩包
CATE_1110,厚底/松糕鞋
CATE_1111,瑜伽服饰
CATE_1112,运动服装
CATE_1113,汽车GPS
CATE_1114,其他民族乐器
CATE_1115,空调扇
CATE_1116,中老年服饰
CATE_1117,理发器
CATE_1118,美容电器
CATE_1119,鲜花速递
CATE_1120,胸部护理
CATE_1121,锅具
CATE_1122,卫浴
CATE_1123,演出/票务
CATE_1124,换气扇/排气扇
CATE_1125,暖气/地暖/散热
CATE_1126,半身裙
CATE_1127,网卡
CATE_1128,果盘/果篓
CATE_1129,大家电
CATE_1130,电烤箱
CATE_1131,民族弹拨乐器
CATE_1132,抱枕/靠垫/坐垫
CATE_1133,凉鞋
CATE_1134,键盘
CATE_1135,运动T恤
CATE_1136,厨房电器
CATE_1137,毛衣/羊绒衫
CATE_1138,花种/花苗
CATE_1139,铂金/PT
CATE_1140,杀毒软件
CATE_1141,体重秤
CATE_1142,洗液
CATE_1143,iPhone配件
CATE_1144,办公设备配件
CATE_1145,木工用具
CATE_1146,挂历/台历
CATE_1147,服装定制
CATE_1148,宗教/命理
CATE_1149,民歌
CATE_1150,皮草
CATE_1151,生肉/肉制品/禽蛋
CATE_1152,网络游戏点卡
CATE_1153,烫衣板
CATE_1154,财会用品
CATE_1155,户外休闲裤
CATE_1156,猫/狗清洁用品
CATE_1157,其他家具
CATE_1158,望远镜
CATE_1159,工作服/制服
CATE_1160,沙发套/椅套
CATE_1161,猫咪
CATE_1162,饼干/糕点/膨化
CATE_1163,系统软件
CATE_1164,车载电器
CATE_1165,旅游用品
CATE_1166,装饰纸巾盒
CATE_1167,耳机/耳麦
CATE_1168,袜子
CATE_1169,两性关系
CATE_1170,mp3/mp4
CATE_1171,手套
CATE_1172,其他玩具
CATE_1173,取暖器
CATE_1174,其他网络设备
